sucursal,plaza_operativa
ACGP GRAN PLAZA,ACAPULCO
ACIV IMSS VICENTE GUERRERO,ACAPULCO
ACMO MOZIMBA,ACAPULCO
ACSB SIMON BOLIVAR,ACAPULCO
AGHA HAROLD R. PAPE,AGUASCALIENTES
AGJP JUAN PABLO II,AGUASCALIENTES
MMSC SAMUEL CASTAÑON,URUAPAN-ZAMORA
PEIS LOMAS PARAISO,PUEBLA FORANEAS
PEPJ PLAZA JARDINES,PUEBLA FORANEAS
TLAT ATLACOMULCO TERMINAL,TOLUCA FORANEAS
CPLM LOPEZ MATEOS,MERIDA
CPXI XIMBAL,MERIDA
CNCL COLOSIO,CANCUN
CNCT CABO CATOCHE,CANCUN
CNES ESTADIO,CANCUN
CNFR FERRY,CANCUN
CNHU HUAYACAN,CANCUN
CNIG IGLESIA,CANCUN
CNKU KUKULCAN,CANCUN
CNLA LAKIN,CANCUN
CNNO 20 DE NOVIEMBRE,CANCUN
CNPO POLIGONO SUR,CANCUN
CNPP PUNTA PIEDRA,CANCUN
CNPX PUERTO CANCUN,CANCUN
CNZH ZAZIL-HA,CANCUN
VRCL CARDEL,VERACRUZ
CPIS ISLA DE TRIS,MERIDA
TLFP SAN FELIPE DEL PROGRESO,TOLUCA FORANEAS
PECS CD SERDAN,PUEBLA FORANEAS
CLFJ FRANCISCO JUAREZ,CELAYA
CLPW PLAN DE IGUALA,CELAYA
CI28 CALLE 28,CHIHUAHUA
CIAD ADELITA,CHIHUAHUA
CICA CAMPUS,CHIHUAHUA
CICB CARBONEL,CHIHUAHUA
CICN CANTERA,CHIHUAHUA
CIDN DIVISION DEL NORTE,CHIHUAHUA
CIHU HUANCUNE,CHIHUAHUA
CIJA JARDINES DEL SAUCITO,CHIHUAHUA
CILM LAS MISIONES,CHIHUAHUA
CIME AMERICAS,CHIHUAHUA
CIOM ORTIZ MENA,CHIHUAHUA
CIPO POLITECNICO,CHIHUAHUA
CITE TECNOLOGICO,CHIHUAHUA
ACAN ANAHUAC,ACAPULCO
ACDL CLUB DE LEONES,ACAPULCO
ACIN INSURGENTES,ACAPULCO
ACLD LAZARO CARDENAS,ACAPULCO
ACVG VICENTE GUERRERO,CHILPANCINGO
CICM CAMPESTRE,CHIHUAHUA
CIOR ORTIZ RUBIO,CHIHUAHUA
JZEJ EJERCITO,CHIHUAHUA
JZGM GOMEZ MORIN,CHIHUAHUA
JZJA JAZMINES,CHIHUAHUA
JZLM LOPEZ MATEOS 2,CHIHUAHUA
JZLR LA RAZA,CHIHUAHUA
JZLT LA CUESTA TEC,CHIHUAHUA
JZLZ LA ZARZANA,CHIHUAHUA
JZMO MONUMENTAL,CHIHUAHUA
JZPL PLUTARCO,CHIHUAHUA
JZPR PRADERA,CHIHUAHUA
JZPT PLAZA LAS TORRES,CHIHUAHUA
JZTC TECNOLOGICO 2,CHIHUAHUA
JZTR PASEO TRIUNFO,CHIHUAHUA
JZVG VICENTE GUERRERO,CHIHUAHUA
JZZA ZARAGOZA,CHIHUAHUA
COCA CARRANZA,COATZACOALCOS
VLCR CORREGIDORA,TABASCO
CBCM DOS CAMINOS,CORDOBA
CLPJ PASEO DE LA JUVENTUD,CELAYA
CNGC GLORIETA CARACOL,CANCUN
CNPQ PEDRO JOAQUIN,CANCUN
CACT CENTRAL DE ABASTO,CUERNAVACA
CAIN INSURGENTES,CUAUTLA
CAJA JANITZIO,CUERNAVACA
CASE SEGURO,CUAUTLA
CEFN LAS FINCAS,CUERNAVACA
CEIG IGUALA,CUERNAVACA
CEM2 RIO MAYO II,CUERNAVACA
CENF NUEVA FRANCIA,CUERNAVACA
CLAE AEROPUERTO,CULIACAN
CLAF ANGEL FLORES,CULIACAN
CLAJ ARJONA II,CULIACAN
CLAO ALVARO,CULIACAN
CLBR BORBOA,CULIACAN
CLCA CALZADA,CULIACAN
CLCD CEDROS,CULIACAN
CLCH CIUDADES HERMANAS,CULIACAN
CLCP COLINAS DEL PARQUE,CULIACAN
CLFB FRANCISCO LABASTIDA,CULIACAN
CLFM FRANCISCO I MADERO,CULIACAN
CLFX FELIX CASTRO,CULIACAN
CLJL JOSE LIMON,CULIACAN
CLPI PEDRO INFANTE,CULIACAN
CLQN LA CONQUISTA,CULIACAN
CLTN TENORIO,CULIACAN
CLTR TRES RIOS,CULIACAN
CLUS USE II,CULIACAN
CLZP ZAPATA II,CULIACAN
MXAP APATLACO,MEXICO CENTRO
MXBN LUIS BARRAGAN,MEXICO CENTRO
MXD1 DEL VALLE CENTRO,MEXICO CENTRO
MXES LA ESPIGA,MEXICO CENTRO
MXFA FLORENCIA,DF CENTRO
MXHG HOSPITAL GENERAL,DF CENTRO
MXLD LOPE DE VEGA,MEXICO CENTRO
MXMP MARIO PANI,MEXICO CENTRO
MXNL NUEVO LEON,MEXICO CENTRO
MXPC POLANCO,MEXICO CENTRO
MXSB SAN BORJA,MEXICO CENTRO
MXSC SCOP,MEXICO CENTRO
MXSI SIGLO XXI,MEXICO CENTRO
MXVL VALLADOLID,MEXICO CENTRO
MXVU VALLE SUR,MEXICO CENTRO
MXAB ARBOLEDAS,MEXICO NORTE
MXBE BELLAVISTA,MEXICO NORTE
MXCU CUAUTITLAN,MEXICO NORTE
MXCV CONVENTO DEL CARMEN,MEXICO NORTE
MXEC ECHEGARAY,DF NORTE
MXEO ECONOMISTAS,MEXICO NORTE
MXGB GUSTAVO BAZ,MEXICO NORTE
MXJM JESUS DEL MONTE,MEXICO NORTE
MXLA LA ABEJA,DF NORTE
MXPP PUNTA HERRADURA,MEXICO NORTE
MXUT SATELITE CIRCUITO,MEXICO NORTE
MXCA CHALCO CUAUHTEMOC,DF ORIENTE
MXCD CONDOR,MEXICO ORIENTE
MXCW CALLE 4,MEXICO ORIENTE
MXHL CHALCO CENTRO,DF ORIENTE
MXHS HUERTAS,DF ORIENTE
MXIT IXTAPALUCA,MEXICO ORIENTE
MXLV LINDAVISTA,MEXICO ORIENTE
MXA1 ARENAL,DF SUR
MXAY AGUAYO,MEXICO SUR
MXCO CONTRERAS,MEXICO SUR
MXH1 HALACHO,DF SUR
MXHU HUIPULCO,DF SUR
MXII INGLATERRA,MEXICO SUR
MXJR SAN JERONIMO,MEXICO SUR
