fecha,sucursal,producto,unidades,costo
01/01/24,ACGP GRAN PLAZA,7500462417833,3,11.1
01/01/24,ACGP GRAN PLAZA,7500462860004,3,23.32
01/01/24,ACGP GRAN PLAZA,7500462860042,1,13.66
01/01/24,ACIV IMSS VICENTE GUERRERO,7500462860042,4,13.66
01/01/24,ACMO MOZIMBA,7500462860042,3,13.66
01/01/24,ACSB SIMON BOLIVAR,7500462417826,1,11.1
01/01/24,ACSB SIMON BOLIVAR,7500462417833,1,11.1
01/01/24,ACSB SIMON BOLIVAR,7500462860004,2,23.32
01/01/24,ACSB SIMON BOLIVAR,7500462860035,1,11.1
01/01/24,ACSB SIMON BOLIVAR,7500462860042,3,13.66
01/01/24,ACSB SIMON BOLIVAR,7500462860066,5,11.1
01/01/24,ACSB SIMON BOLIVAR,7503028921317,2,29.03
01/01/24,AGHA HAROLD R. PAPE,7500462860035,1,11.1
01/01/24,AGHA HAROLD R. PAPE,7500462860042,1,13.66
01/01/24,AGHA HAROLD R. PAPE,7500462860066,2,11.1
01/01/24,AGJP JUAN PABLO II,7500462860042,2,13.66
01/01/24,MMSC SAMUEL CASTA„ON,7500462860042,2,13.66
01/01/24,PEIS LOMAS PARAISO,7500462860042,2,13.66
01/01/24,PEPJ PLAZA JARDINES,7500462417826,1,11.1
01/01/24,PEPJ PLAZA JARDINES,7500462860004,1,23.32
01/01/24,PEPJ PLAZA JARDINES,7500462860035,1,11.1
01/01/24,TLAT ATLACOMULCO TERMINAL,7500462860042,1,13.66
01/01/24,CPLM LOPEZ MATEOS,7500462860042,2,13.66
01/01/24,CPXI XIMBAL,7500462860042,2,13.66
01/01/24,CNCL COLOSIO,7500462417826,4,11.1
01/01/24,CNCL COLOSIO,7500462417833,5,11.1
01/01/24,CNCL COLOSIO,7500462860004,7,23.32
01/01/24,CNCL COLOSIO,7500462860035,3,11.1
01/01/24,CNCL COLOSIO,7500462860042,4,13.66
01/01/24,CNCL COLOSIO,7500462860066,8,11.1
01/01/24,CNCL COLOSIO,7503028921317,1,29.03
01/01/24,CNCT CABO CATOCHE,7500462417826,1,11.1
01/01/24,CNCT CABO CATOCHE,7500462417833,5,11.1
01/01/24,CNCT CABO CATOCHE,7500462860004,3,23.32
01/01/24,CNCT CABO CATOCHE,7500462860035,2,11.1
01/01/24,CNCT CABO CATOCHE,7500462860042,1,13.66
01/01/24,CNCT CABO CATOCHE,7500462860066,9,11.1
01/01/24,CNCT CABO CATOCHE,7503028921317,1,29.03
01/01/24,CNES ESTADIO,7503028921133,1,11.1
01/01/24,CNFR FERRY,7500462417833,4,11.1
01/01/24,CNFR FERRY,7500462860004,5,23.32
01/01/24,CNFR FERRY,7500462860035,2,11.1
01/01/24,CNFR FERRY,7500462860042,2,13.66
01/01/24,CNFR FERRY,7500462860066,1,11.1
01/01/24,CNFR FERRY,7503028921317,7,29.03
01/01/24,CNHU HUAYACAN,7500462417826,1,11.1
01/01/24,CNHU HUAYACAN,7500462860004,2,23.32
01/01/24,CNHU HUAYACAN,7500462860035,2,11.1
01/01/24,CNHU HUAYACAN,7500462860042,10,13.66
01/01/24,CNHU HUAYACAN,7500462860066,2,11.1
01/01/24,CNIG IGLESIA,7500462860042,3,13.66
01/01/24,CNKU KUKULCAN,7500462417826,1,11.1
01/01/24,CNKU KUKULCAN,7500462417833,1,11.1
01/01/24,CNKU KUKULCAN,7500462860042,3,13.66
01/01/24,CNKU KUKULCAN,7500462860066,2,11.1
01/01/24,CNKU KUKULCAN,7503028921317,2,29.03
01/01/24,CNLA LAKIN,7503028921317,1,29.03
01/01/24,CNNO 20 DE NOVIEMBRE,7500462860042,3,13.66
01/01/24,CNPO POLIGONO SUR,7500462860042,8,13.66
01/01/24,CNPP PUNTA PIEDRA,7500462417826,2,11.1
01/01/24,CNPP PUNTA PIEDRA,7500462417833,1,11.1
01/01/24,CNPP PUNTA PIEDRA,7500462860035,1,11.1
01/01/24,CNPP PUNTA PIEDRA,7500462860042,4,13.66
01/01/24,CNPP PUNTA PIEDRA,7500462860066,4,11.1
01/01/24,CNPP PUNTA PIEDRA,7503028921317,12,29.03
01/01/24,CNPX PUERTO CANCUN,7500462417826,2,11.1
01/01/24,CNPX PUERTO CANCUN,7500462417833,2,11.1
01/01/24,CNPX PUERTO CANCUN,7500462860004,2,23.32
01/01/24,CNPX PUERTO CANCUN,7500462860042,6,13.66
01/01/24,CNZH ZAZIL-HA,7500462417826,1,11.1
01/01/24,CNZH ZAZIL-HA,7500462860004,1,23.32
01/01/24,CNZH ZAZIL-HA,7500462860042,6,13.66
01/01/24,CNZH ZAZIL-HA,7500462860066,1,11.1
01/01/24,CNZH ZAZIL-HA,7503028921317,5,29.03
01/01/24,VRCL CARDEL,7500462860042,3,13.66
01/01/24,CPIS ISLA DE TRIS,7500462860042,8,13.66
01/01/24,TLFP SAN FELIPE DEL PROGRESO,7500462860042,2,13.66
01/01/24,PECS CD SERDAN,7500462860042,1,13.66
01/01/24,CLFJ FRANCISCO JUAREZ,7500462417826,5,11.1
01/01/24,CLFJ FRANCISCO JUAREZ,7500462417833,3,11.1
01/01/24,CLFJ FRANCISCO JUAREZ,7500462860035,1,11.1
01/01/24,CLFJ FRANCISCO JUAREZ,7500462860066,3,11.1
01/01/24,CLPW PLAN DE IGUALA,7500462860042,1,13.66
01/01/24,CI28 CALLE 28,7500462860042,1,13.66
01/01/24,CIAD ADELITA,7500462860042,3,13.66
01/01/24,CICA CAMPUS,7500462860042,1,13.66
01/01/24,CICB CARBONEL,7500462860042,4,13.66
01/01/24,CICN CANTERA,7500462417826,1,11.1
01/01/24,CICN CANTERA,7500462417833,1,11.1
01/01/24,CICN CANTERA,7500462860035,1,11.1
01/01/24,CICN CANTERA,7500462860042,2,13.66
01/01/24,CICN CANTERA,7503028921317,2,29.03
01/01/24,CIDN DIVISION DEL NORTE,7500462417826,3,11.1
01/01/24,CIDN DIVISION DEL NORTE,7500462417833,2,11.1
01/01/24,CIDN DIVISION DEL NORTE,7500462860035,1,11.1
01/01/24,CIDN DIVISION DEL NORTE,7500462860042,3,13.66
01/01/24,CIDN DIVISION DEL NORTE,7500462860066,1,11.1
01/01/24,CIDN DIVISION DEL NORTE,7503028921317,9,29.03
01/01/24,CIHU HUANCUNE,7500462860004,2,23.32
01/01/24,CIHU HUANCUNE,7500462860042,2,13.66
01/01/24,CIHU HUANCUNE,7500462860066,1,11.1
01/01/24,CIJA JARDINES DEL SAUCITO,7500462860042,2,13.66
01/01/24,CILM LAS MISIONES,7500462417826,3,11.1
01/01/24,CILM LAS MISIONES,7500462417833,1,11.1
01/01/24,CILM LAS MISIONES,7500462860004,1,23.32
01/01/24,CILM LAS MISIONES,7500462860042,5,13.66
01/01/24,CILM LAS MISIONES,7503028921317,3,29.03
